"","x","y","value"
"1",0,369,0
"2",1,371,0
"3",1,370,0
"4",1,369,0
"5",2,476,0
"6",2,475,0
"7",2,371,0
"8",2,370,0
"9",2,369,0
"10",2,368,0
"11",3,477,0
"12",3,476,0
"13",3,475,0
"14",3,372,0
"15",3,371,0
"16",3,370,0
"17",3,369,0
"18",4,476,0
"19",4,475,0
"20",4,474,0
"21",4,372,0
"22",4,371,0
"23",4,370,0
"24",4,369,0
"25",5,476,0
"26",5,475,0
"27",5,474,0
"28",5,473,0
"29",5,438,0
"30",5,437,0
"31",5,372,0
"32",5,371,0
"33",5,370,0
"34",5,369,0
"35",6,475,0
"36",6,474,0
"37",6,473,0
"38",6,439,0
"39",6,438,0
"40",6,437,0
"41",6,436,0
"42",6,373,0
"43",6,372,0
"44",6,371,0
"45",6,370,0
"46",7,475,0
"47",7,474,0
"48",7,473,0
"49",7,472,0
"50",7,438,0
"51",7,437,0
"52",7,436,0
"53",7,373,0
"54",7,372,0
"55",7,371,0
"56",7,370,0
"57",8,474,0
"58",8,473,0
"59",8,472,0
"60",8,438,0
"61",8,437,0
"62",8,436,0
"63",8,373,0
"64",8,372,0
"65",8,371,0
"66",8,370,0
"67",9,473,0
"68",9,472,0
"69",9,471,0
"70",9,438,0
"71",9,437,0
"72",9,436,0
"73",9,374,0
"74",9,373,0
"75",9,372,0
"76",9,371,0
"77",10,473,0
"78",10,472,0
"79",10,471,0
"80",10,470,0
"81",10,438,0
"82",10,437,0
"83",10,436,0
"84",10,435,0
"85",10,374,0
"86",10,373,0
"87",10,372,0
"88",10,371,0
"89",11,471,0
"90",11,470,0
"91",11,437,0
"92",11,436,0
"93",11,435,0
"94",11,374,0
"95",11,373,0
"96",11,372,0
"97",11,371,0
"98",12,471,0
"99",12,470,0
"100",12,469,0
"101",12,437,0
"102",12,436,0
"103",12,435,0
"104",12,374,0
"105",12,373,0
"106",12,372,0
"107",13,471,0
"108",13,470,0
"109",13,469,0
"110",13,468,0
"111",13,437,0
"112",13,436,0
"113",13,435,0
"114",13,434,0
"115",13,375,0
"116",13,374,0
"117",13,373,0
"118",13,372,0
"119",14,470,0
"120",14,469,0
"121",14,468,0
"122",14,437,0
"123",14,436,0
"124",14,435,0
"125",14,434,0
"126",14,375,0
"127",14,374,0
"128",14,373,0
"129",14,372,0
"130",15,470,0
"131",15,469,0
"132",15,468,0
"133",15,467,0
"134",15,436,0
"135",15,435,0
"136",15,434,0
"137",15,433,0
"138",15,375,0
"139",15,374,0
"140",15,373,0
"141",15,372,0
"142",16,469,0
"143",16,468,0
"144",16,467,0
"145",16,436,0
"146",16,435,0
"147",16,434,0
"148",16,433,0
"149",16,376,0
"150",16,375,0
"151",16,374,0
"152",16,373,0
"153",17,469,0
"154",17,468,0
"155",17,467,0
"156",17,466,0
"157",17,436,0
"158",17,435,0
"159",17,434,0
"160",17,433,0
"161",17,376,0
"162",17,375,0
"163",17,374,0
"164",17,373,0
"165",18,467,0
"166",18,435,0
"167",18,434,0
"168",18,433,0
"169",18,376,0
"170",18,375,0
"171",18,374,0
"172",18,373,0
"173",19,467,0
"174",19,435,0
"175",19,434,0
"176",19,433,0
"177",19,432,0
"178",19,376,0
"179",19,375,0
"180",19,374,0
"181",19,373,0
"182",20,434,0
"183",20,433,0
"184",20,432,0
"185",20,376,0
"186",20,375,0
"187",20,374,0
"188",21,434,0
"189",21,433,0
"190",21,432,0
"191",21,431,0
"192",21,377,0
"193",21,376,0
"194",21,375,0
"195",21,374,0
"196",22,434,0
"197",22,433,0
"198",22,432,0
"199",22,431,0
"200",22,377,0
"201",22,376,0
"202",22,375,0
"203",22,374,0
"204",23,433,0
"205",23,432,0
"206",23,431,0
"207",23,377,0
"208",23,376,0
"209",23,375,0
"210",23,374,0
"211",24,433,0
"212",24,432,0
"213",24,431,0
"214",24,430,0
"215",24,377,0
"216",24,376,0
"217",24,375,0
"218",25,433,0
"219",25,432,0
"220",25,431,0
"221",25,430,0
"222",25,378,0
"223",25,377,0
"224",25,376,0
"225",25,375,0
"226",26,462,0
"227",26,461,0
"228",26,460,0
"229",26,432,0
"230",26,431,0
"231",26,430,0
"232",26,429,0
"233",26,378,0
"234",26,377,0
"235",26,376,0
